"","X.1","X19.08.2017","X31.08.2017","X12.09.2017","X24.09.2017","X6.10.2017","X18.10.2017","X30.10.2017","X11.11.2017","X23.11.2017","X5.12.2017","X17.12.2017","X29.12.2017","X10.01.2018","X22.01.2018","X3.02.2018","X15.02.2018","X27.02.2018","X11.03.2018","X23.03.2018","X4.04.2018","X16.04.2018","X28.04.2018","X10.05.2018","X22.05.2018","X3.06.2018","X15.06.2018","X27.06.2018","X9.07.2018","X21.07.2018","X2.08.2018","X14.08.2018","X26.08.2018","X7.09.2018","X19.09.2018","X1.10.2018","X13.10.2018","X25.10.2018","X6.11.2018","X18.11.2018","X30.11.2018","X12.12.2018","X24.12.2018","X5.01.2019","X17.01.2019","X","Y","Count","Nbhd"
"72","Pixel.113",-0.008608,-0.002762,0.002638,0.004979,-0.003387,-0.000493,-0.004126,0.000613,-0.004689,-0.004391,-0.004296,-0.003208,-0.004728,-0.007288,-0.008493,-0.008331,-0.006541,-0.009505,-0.004855,-0.006952,-0.010864,-0.001404,-0.010482,-0.00847,-0.00687,-0.010003,-0.012006,-0.011281,-0.012923,-0.009291,-0.012285,-0.010884,-0.018143,-0.013143,-0.018503,-0.001512,-0.011868,-0.020298,-0.017543,-0.016154,-0.01216,-0.015556,-0.006384,-0.021288,592010,7775130,1,5
"73","Pixel.310",-0.005966,0.000608,-0.013514,0.006115,0.002417,0.004195,-0.003341,-0.007819,-0.014149,-0.003884,-0.001189,-0.00493,-0.009601,-0.00528,-0.009936,-0.002047,-0.011608,-0.006109,-0.00986,-0.01212,-0.005215,-0.007397,-0.011835,-0.011883,-0.00927,-0.014036,-0.010788,-0.015803,-0.014234,-0.016785,-0.015528,-0.014105,-0.014095,-0.014223,-0.01304,-0.014789,-0.022258,-0.016324,-0.011448,-0.010153,-0.009502,-0.022837,-0.02038,-0.021534,592050,7775130,1,5
"75","Pixel.61",-0.000563,-0.003046,0.002853,0.000848,0.000911,-0.000533,0.001895,-0.00016,-0.004999,0.001217,-0.001938,-0.006031,-0.00146,-0.004894,-0.007777,-0.008096,-0.014378,-2e-06,-0.003702,-0.008548,-0.004878,-0.004614,-0.006863,0.00073,-0.007883,-0.011247,-0.009813,-0.009539,-0.010561,-0.00964,-0.009956,-0.013555,-0.020241,-0.010116,-0.014714,-0.015897,-0.008996,-0.011643,-0.009638,-0.010582,-0.007848,-0.01076,-0.010533,-0.014898,592010,7775110,2,5
"76","Pixel.92",0.001426,-0.002119,0.001111,-0.003306,0.006167,0.004037,-0.003007,-0.006917,-0.000346,-0.003397,-0.003216,-0.004748,-0.009597,-0.008196,-0.009587,-0.008594,-0.005476,-0.005488,-0.012753,-0.008845,-0.012797,-0.011743,-0.010721,-0.009996,-0.011604,-0.012887,-0.008604,-0.018784,-0.013965,-0.017316,-0.011246,-0.018334,-0.017761,-0.018344,-0.007961,-0.008411,-0.01644,-0.017105,-0.013598,-0.020943,-0.010365,-0.02229,-0.017252,-0.018364,592070,7775110,1,5
"79","Pixel.171",-0.003936,0.004343,0.003894,-0.000197,0.002465,-0.004054,-0.007408,-0.000185,0.008784,-0.002069,-0.003697,-0.011393,-0.008566,-0.000207,-0.011278,-0.007724,-0.011851,-0.004662,-0.004252,-0.015037,-0.000918,-0.005084,-0.005526,-0.001917,-0.010934,-0.007544,-0.010432,-0.011306,-0.017288,-0.016094,-0.011175,-0.014117,-0.013328,-0.009199,-0.006287,-0.013567,-0.009121,-0.009732,-0.009554,-0.012698,-0.00652,-0.00946,-0.01294,-0.017272,592090,7775090,1,5
"81","Pixel.301",-0.00047,-0.004559,0.001664,0.006487,-0.000314,-0.011611,-0.003538,0.003215,0.003384,-0.0027,-0.001503,-0.006884,-0.011223,-0.004256,-0.008744,-0.006832,-0.007913,-0.003364,-0.0152,-0.016056,-0.010232,-0.010322,-0.007932,-0.007954,-0.008773,-0.007343,-0.004409,-0.01618,-0.014827,-0.009829,-0.011839,-0.008143,-0.014095,-0.016412,-0.00836,-0.002278,-0.01056,-0.018524,-0.022013,-0.016818,-0.01495,-0.017789,-0.013988,-0.020561,592090,7775050,1,5
"84","Pixel.35",-0.000435,-0.001443,0.006794,-0.00052,-0.00396,-0.001015,-0.000177,-0.003436,-0.003173,-0.005735,-0.003369,-0.0085,-0.000142,-0.010743,-0.009175,-0.009776,-0.014852,-0.008106,-0.008494,-0.015899,-0.009102,-0.008438,-0.008759,-0.012972,-0.014365,-0.009633,-0.008321,-0.015526,-0.01526,-0.01479,-0.009637,-0.012955,-0.016601,-0.014963,-0.017173,-0.011209,-0.013677,-0.01781,-0.01935,-0.024058,-0.022648,-0.014413,-0.014835,-0.018746,592070,7775030,1,5
"88","Pixel.47",0.001154,-0.001122,-0.004033,0.01708,0.002344,-0.001125,-0.003323,-0.004109,-0.00949,-0.012719,0.005811,-0.002312,-0.006197,0.002509,-0.007891,-0.008004,-0.00728,-0.006182,-0.007204,-0.01033,-0.006064,-0.010977,-0.004631,0.002262,-0.009857,-0.000188,-0.005249,-0.007028,-0.004057,-0.00248,-0.005681,-0.006451,-0.008277,-0.004912,-0.005303,-0.00234,-0.014032,-0.018605,-0.009361,-0.015106,-0.007452,-0.006438,-0.013756,-0.015741,592330,7775190,1,6
"89","Pixel.52",0.000917,-0.005813,-0.002505,0.016541,0.003105,0.006316,0.005358,-0.005375,0.000638,-0.010834,-0.006554,-0.005575,-0.003785,-0.000298,-0.00872,-0.002505,0.002585,-0.008947,-0.009403,-0.002471,-0.011106,-0.011034,-0.009379,-0.0086,-0.010661,-0.011977,-0.011144,-0.023508,-0.007227,0.000913,-0.012713,-0.01231,-0.010157,-0.00886,-0.00604,0.000802,-0.018372,-0.011786,-0.008723,-0.027249,-0.012019,-0.018238,-0.012973,-0.013478,592350,7775190,1,6
"90","Pixel.83",-0.002426,-0.004134,-0.001506,0.004192,-0.001161,0.005329,0.002712,-0.005426,-0.013444,-0.006042,-0.002409,-0.003393,-0.009207,-0.002044,-0.008531,-0.006562,0.009184,-0.010613,-0.012285,-0.008403,-0.009151,-0.014152,-0.006915,-0.013207,-0.004944,-0.007383,-0.01142,-0.01586,-0.016924,0.0071,-0.006622,-0.012402,-0.010705,-0.011588,-0.012313,-0.015936,-0.016826,-0.01368,-0.01105,-0.007454,-0.016577,-0.024798,-0.016626,-0.021272,592410,7775190,2,6
"93","Pixel.14",0.00274,0.000419,-0.003926,0.025864,0.00583,-0.00164,-0.004175,-0.006773,-0.006951,-0.004323,-0.002649,0.003048,-0.003854,-0.003024,-0.001767,-0.006982,-0.01027,-0.002221,-0.006803,-0.00119,-0.007669,-0.005716,-0.010203,-0.010607,-0.00272,-0.005385,-0.008888,-0.020116,-0.012936,-0.009301,-0.013859,-0.014319,-0.003124,-0.006656,-0.003883,-0.014423,-0.01332,-0.009811,-0.006228,-0.015342,-0.011085,-0.015434,-0.00751,-0.000557,592410,7775170,2,6
