Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30,Pixel 31,Pixel 32,Pixel 33,Pixel 34,Pixel 35,Pixel 36,Pixel 37
24/08/2017,-0.003981,-0.013716,-0.003,-0.00091,-0.00091,0.005609,-0.001167,-0.003345,-0.000109,-0.000109,0.005609,0.000561,0.000295,-0.000109,-0.000109,0.001776,0.001429,-0.008868,0.000295,-0.003969,-0.005828,-0.005828,0.002821,-0.009439,-0.007112,-0.000204,-0.000204,0.007881,-0.002399,-0.0049,-0.0049,0.002476,0.007881,0.007881,-0.0049,0.002476,0.00471
5/09/2017,0.000923,0.008123,0.008063,-0.003281,-0.003281,0.01283,0.005323,0.009549,0.013646,0.013646,0.01283,0.003257,0.015924,0.013646,0.013646,0.004276,-0.001785,-0.008203,0.015924,0.016056,0.002452,0.002452,0.006346,0.007794,0.001429,0.003854,0.003854,0.002739,0.005699,0.009278,0.009278,0.000972,0.002739,0.002739,0.009278,0.000972,0.002823
17/09/2017,-0.002598,-0.003692,-0.003535,-0.000841,-0.000841,0.003922,-0.01134,0.008906,-0.008348,-0.008348,0.003922,0.00154,0.005584,-0.008348,-0.008348,-0.001159,-0.001747,-0.004524,0.005584,-0.00645,0.001486,0.001486,0.007737,-0.011222,-0.003637,0.000115,0.000115,-0.007822,-0.010046,-0.002238,-0.002238,-0.003505,-0.007822,-0.007822,-0.002238,-0.003505,0.002274
29/09/2017,0.009083,0.011605,-0.001747,0.007496,0.007496,0.002059,0.004323,0.001472,0.01258,0.01258,0.002059,0.008121,0.003365,0.01258,0.01258,0.00345,-0.004429,0.000907,0.003365,0.009244,0.006705,0.006705,0.003494,-0.007263,0.003864,0.013333,0.013333,-0.00537,0.000169,0.005803,0.005803,0.002821,-0.00537,-0.00537,0.005803,0.002821,-0.001708
11/10/2017,0.000938,0.007774,0.010177,0.004955,0.004955,0.001757,0.002536,0.006613,-0.000381,-0.000381,0.001757,0.000826,-0.002087,-0.000381,-0.000381,-0.001157,-0.005174,0.009941,-0.002087,-0.012145,0.000095,0.000095,-0.001978,0.000492,-0.004791,-0.001311,-0.001311,0.001365,0.003006,0.000936,0.000936,0.004282,0.001365,0.001365,0.000936,0.004282,-0.003427
23/10/2017,0.002948,-0.006123,0.000245,-0.001135,-0.001135,-0.004168,-0.006009,-0.003236,-0.007842,-0.007842,-0.004168,-0.0051,-0.005323,-0.007842,-0.007842,-0.004096,0.002252,0.007156,-0.005323,-0.011112,0.001076,0.001076,-0.008838,-0.005576,-0.006528,0.008352,0.008352,0.001105,0.000591,-0.003601,-0.003601,0.009152,0.001105,0.001105,-0.003601,0.009152,-0.004713
4/11/2017,0.004871,0.010176,0.002232,0.000881,0.000881,0.000754,-0.002639,-0.007526,-0.007595,-0.007595,0.000754,-0.001485,-0.007352,-0.007595,-0.007595,-0.002543,0.00128,0.008577,-0.007352,-0.004052,-0.003914,-0.003914,-0.014301,0.003314,-0.00351,0.001583,0.001583,-0.006258,-0.006626,0.000942,0.000942,-0.00074,-0.006258,-0.006258,0.000942,-0.00074,0.001205
16/11/2017,0.001729,-0.006358,0.001049,-0.003564,-0.003564,-0.001386,-0.005431,-0.004499,0.005863,0.005863,-0.001386,-0.003605,-0.008362,0.005863,0.005863,0.000901,-0.001615,-0.004385,-0.008362,-0.008478,0.000768,0.000768,-0.000959,0.003181,-0.003172,-0.002281,-0.002281,-0.001035,-0.005035,-0.003373,-0.003373,-0.00275,-0.001035,-0.001035,-0.003373,-0.00275,-0.005755
28/11/2017,-0.018142,-0.008646,0.000855,-0.009331,-0.009331,-0.023811,0.010872,0.003882,-0.002369,-0.002369,-0.023811,0.002005,-0.015915,-0.002369,-0.002369,-0.010152,-0.005969,-0.000003,-0.015915,-0.00584,-0.004189,-0.004189,-0.001562,0.003587,0.003399,-0.00831,-0.00831,0.007742,-0.003522,-0.001183,-0.001183,-0.000933,0.007742,0.007742,-0.001183,-0.000933,-0.005644
10/12/2017,0.002582,0.00034,-0.003027,-0.000295,-0.000295,0.002999,0.000342,-0.00336,-0.000569,-0.000569,0.002999,0.006493,-0.002672,-0.000569,-0.000569,0.001169,-0.005096,0.003595,-0.002672,0.002648,0.002401,0.002401,0.007158,-0.003507,0.000507,-0.000991,-0.000991,-0.005404,-0.005181,-0.006179,-0.006179,-0.005547,-0.005404,-0.005404,-0.006179,-0.005547,-0.009779
