Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30,Pixel 31,Pixel 32,Pixel 33,Pixel 34,Pixel 35,Pixel 36,Pixel 37,Pixel 38
27/01/2018,-0.007288,-0.007288,-0.00528,-0.000809,-0.000809,-0.004894,-0.00528,-0.00528,-0.008196,-0.008196,-0.005946,-0.003689,-0.004894,-0.003524,-0.003524,0.00015,-0.000207,-0.005946,-0.003689,-0.003689,-0.004291,-0.007306,-0.007306,-0.000207,-0.000207,-0.002114,-0.002114,-0.007306,-0.007306,-0.004256,-0.006958,-0.002114,-0.002114,-0.004717,-0.010743,-0.010743,-0.001225,-0.005907
8/02/2018,-0.008493,-0.008493,-0.009936,-0.001425,-0.001425,-0.007777,-0.009936,-0.009936,-0.009587,-0.009587,-0.010308,-0.006997,-0.007777,-0.006958,-0.006958,-0.009526,-0.011278,-0.010308,-0.006997,-0.006997,-0.011206,-0.005016,-0.005016,-0.011278,-0.011278,-0.006381,-0.006381,-0.005016,-0.005016,-0.008744,-0.007139,-0.006381,-0.006381,-0.007647,-0.009175,-0.009175,-0.006537,-0.009188
20/02/2018,-0.008331,-0.008331,-0.002047,-0.000173,-0.000173,-0.008096,-0.002047,-0.002047,-0.008594,-0.008594,-0.004009,-0.00667,-0.008096,-0.007069,-0.007069,-0.007578,-0.007724,-0.004009,-0.00667,-0.00667,-0.005062,-0.007113,-0.007113,-0.007724,-0.007724,-0.004233,-0.004233,-0.007113,-0.007113,-0.006832,-0.005427,-0.004233,-0.004233,-0.006958,-0.009776,-0.009776,-0.006034,-0.006344
4/03/2018,-0.006541,-0.006541,-0.011608,-0.005696,-0.005696,-0.014378,-0.011608,-0.011608,-0.005476,-0.005476,-0.000529,-0.011489,-0.014378,-0.010136,-0.010136,-0.010518,-0.011851,-0.000529,-0.011489,-0.011489,-0.007716,-0.01641,-0.01641,-0.011851,-0.011851,-0.010584,-0.010584,-0.01641,-0.01641,-0.007913,-0.010589,-0.010584,-0.010584,-0.010374,-0.014852,-0.014852,-0.001899,-0.010371
16/03/2018,-0.009505,-0.009505,-0.006109,0.000251,0.000251,-0.000002,-0.006109,-0.006109,-0.005488,-0.005488,-0.007212,-0.003585,-0.000002,-0.007543,-0.007543,-0.000963,-0.004662,-0.007212,-0.003585,-0.003585,-0.005152,-0.005292,-0.005292,-0.004662,-0.004662,-0.006464,-0.006464,-0.005292,-0.005292,-0.003364,-0.007623,-0.006464,-0.006464,-0.006244,-0.008106,-0.008106,-0.002905,-0.006666
28/03/2018,-0.004855,-0.004855,-0.00986,0.000339,0.000339,-0.003702,-0.00986,-0.00986,-0.012753,-0.012753,-0.001636,-0.008165,-0.003702,-0.012051,-0.012051,-0.004917,-0.004252,-0.001636,-0.008165,-0.008165,-0.01056,-0.008809,-0.008809,-0.004252,-0.004252,-0.010291,-0.010291,-0.008809,-0.008809,-0.0152,0.00037,-0.010291,-0.010291,-0.014472,-0.008494,-0.008494,-0.006362,-0.01086
9/04/2018,-0.006952,-0.006952,-0.01212,-0.007162,-0.007162,-0.008548,-0.01212,-0.01212,-0.008845,-0.008845,-0.010055,-0.011715,-0.008548,-0.010351,-0.010351,-0.006565,-0.015037,-0.010055,-0.011715,-0.011715,-0.007472,-0.011687,-0.011687,-0.015037,-0.015037,-0.005205,-0.005205,-0.011687,-0.011687,-0.016056,-0.007477,-0.005205,-0.005205,-0.007621,-0.015899,-0.015899,-0.0061,-0.008482
21/04/2018,-0.010864,-0.010864,-0.005215,0.002651,0.002651,-0.004878,-0.005215,-0.005215,-0.012797,-0.012797,-0.002743,-0.005303,-0.004878,-0.00898,-0.00898,-0.007568,-0.000918,-0.002743,-0.005303,-0.005303,-0.007407,-0.011656,-0.011656,-0.000918,-0.000918,-0.009751,-0.009751,-0.011656,-0.011656,-0.010232,-0.00378,-0.009751,-0.009751,-0.00681,-0.009102,-0.009102,-0.006154,-0.009038
3/05/2018,-0.001404,-0.001404,-0.007397,-0.004407,-0.004407,-0.004614,-0.007397,-0.007397,-0.011743,-0.011743,-0.00933,-0.006908,-0.004614,-0.007111,-0.007111,-0.002085,-0.005084,-0.00933,-0.006908,-0.006908,-0.007364,-0.007914,-0.007914,-0.005084,-0.005084,-0.001772,-0.001772,-0.007914,-0.007914,-0.010322,-0.005031,-0.001772,-0.001772,-0.00616,-0.008438,-0.008438,-0.002193,-0.006968
15/05/2018,-0.010482,-0.010482,-0.011835,-0.010561,-0.010561,-0.006863,-0.011835,-0.011835,-0.010721,-0.010721,-0.007796,-0.007769,-0.006863,-0.01051,-0.01051,-0.011535,-0.005526,-0.007796,-0.007769,-0.007769,-0.008997,-0.009756,-0.009756,-0.005526,-0.005526,-0.004946,-0.004946,-0.009756,-0.009756,-0.007932,-0.004126,-0.004946,-0.004946,-0.00736,-0.008759,-0.008759,-0.002601,-0.006412
27/05/2018,-0.00847,-0.00847,-0.011883,-0.009346,-0.009346,0.00073,-0.011883,-0.011883,-0.009996,-0.009996,-0.003875,-0.007511,0.00073,-0.009927,-0.009927,-0.01236,-0.001917,-0.003875,-0.007511,-0.007511,-0.008507,-0.008794,-0.008794,-0.001917,-0.001917,-0.008335,-0.008335,-0.008794,-0.008794,-0.007954,-0.00853,-0.008335,-0.008335,-0.008108,-0.012972,-0.012972,-0.009275,-0.010404
8/06/2018,-0.00687,-0.00687,-0.00927,-0.000612,-0.000612,-0.007883,-0.00927,-0.00927,-0.011604,-0.011604,-0.008201,-0.008095,-0.007883,-0.009571,-0.009571,-0.008802,-0.010934,-0.008201,-0.008095,-0.008095,-0.009658,-0.013751,-0.013751,-0.010934,-0.010934,-0.008025,-0.008025,-0.013751,-0.013751,-0.008773,-0.007624,-0.008025,-0.008025,-0.008716,-0.014365,-0.014365,-0.004859,-0.009685
20/06/2018,-0.010003,-0.010003,-0.014036,-0.000235,-0.000235,-0.011247,-0.014036,-0.014036,-0.012887,-0.012887,-0.006574,-0.009992,-0.011247,-0.011552,-0.011552,-0.01233,-0.007544,-0.006574,-0.009992,-0.009992,-0.012038,-0.00841,-0.00841,-0.007544,-0.007544,-0.009174,-0.009174,-0.00841,-0.00841,-0.007343,-0.010409,-0.009174,-0.009174,-0.006511,-0.009633,-0.009633,-0.005104,-0.008112
2/07/2018,-0.012006,-0.012006,-0.010788,-0.003822,-0.003822,-0.009813,-0.010788,-0.010788,-0.008604,-0.008604,-0.004125,-0.009386,-0.009813,-0.007643,-0.007643,-0.009217,-0.010432,-0.004125,-0.009386,-0.009386,-0.010063,-0.004714,-0.004714,-0.010432,-0.010432,-0.011139,-0.011139,-0.004714,-0.004714,-0.004409,-0.00789,-0.011139,-0.011139,-0.004225,-0.008321,-0.008321,-0.003612,-0.008207
14/07/2018,-0.011281,-0.011281,-0.015803,-0.008279,-0.008279,-0.009539,-0.015803,-0.015803,-0.018784,-0.018784,-0.014651,-0.010512,-0.009539,-0.013241,-0.013241,-0.006132,-0.011306,-0.014651,-0.010512,-0.010512,-0.010005,-0.010254,-0.010254,-0.011306,-0.011306,-0.012099,-0.012099,-0.010254,-0.010254,-0.01618,-0.013514,-0.012099,-0.012099,-0.009309,-0.015526,-0.015526,-0.006279,-0.011277
26/07/2018,-0.012923,-0.012923,-0.014234,-0.008403,-0.008403,-0.010561,-0.014234,-0.014234,-0.013965,-0.013965,-0.009119,-0.014761,-0.010561,-0.013958,-0.013958,-0.015809,-0.017288,-0.009119,-0.014761,-0.014761,-0.010873,-0.013008,-0.013008,-0.017288,-0.017288,-0.016481,-0.016481,-0.013008,-0.013008,-0.014827,-0.015113,-0.016481,-0.016481,-0.01138,-0.01526,-0.01526,-0.007593,-0.011488
7/08/2018,-0.009291,-0.009291,-0.016785,-0.008782,-0.008782,-0.00964,-0.016785,-0.016785,-0.017316,-0.017316,-0.01616,-0.008956,-0.00964,-0.01158,-0.01158,-0.011882,-0.016094,-0.01616,-0.008956,-0.008956,-0.012667,-0.011681,-0.011681,-0.016094,-0.016094,-0.015895,-0.015895,-0.011681,-0.011681,-0.009829,-0.014737,-0.015895,-0.015895,-0.010074,-0.01479,-0.01479,-0.013097,-0.009249
19/08/2018,-0.012285,-0.012285,-0.015528,-0.008086,-0.008086,-0.009956,-0.015528,-0.015528,-0.011246,-0.011246,-0.010321,-0.009088,-0.009956,-0.011686,-0.011686,-0.010251,-0.011175,-0.010321,-0.009088,-0.009088,-0.013418,-0.00973,-0.00973,-0.011175,-0.011175,-0.012342,-0.012342,-0.00973,-0.00973,-0.011839,-0.006969,-0.012342,-0.012342,-0.009846,-0.009637,-0.009637,-0.006836,-0.010305
31/08/2018,-0.010884,-0.010884,-0.014105,-0.003646,-0.003646,-0.013555,-0.014105,-0.014105,-0.018334,-0.018334,-0.008867,-0.008738,-0.013555,-0.011936,-0.011936,-0.011682,-0.014117,-0.008867,-0.008738,-0.008738,-0.013047,-0.010673,-0.010673,-0.014117,-0.014117,-0.017193,-0.017193,-0.010673,-0.010673,-0.008143,-0.014796,-0.017193,-0.017193,-0.008176,-0.012955,-0.012955,-0.008721,-0.010736
12/09/2018,-0.018143,-0.018143,-0.014095,-0.014671,-0.014671,-0.020241,-0.014095,-0.014095,-0.017761,-0.017761,-0.018446,-0.016659,-0.020241,-0.017133,-0.017133,-0.015652,-0.013328,-0.018446,-0.016659,-0.016659,-0.018084,-0.014158,-0.014158,-0.013328,-0.013328,-0.018038,-0.018038,-0.014158,-0.014158,-0.014095,-0.008854,-0.018038,-0.018038,-0.012597,-0.016601,-0.016601,-0.012181,-0.014644
24/09/2018,-0.013143,-0.013143,-0.014223,-0.004745,-0.004745,-0.010116,-0.014223,-0.014223,-0.018344,-0.018344,-0.011429,-0.012092,-0.010116,-0.015534,-0.015534,-0.013396,-0.009199,-0.011429,-0.012092,-0.012092,-0.015926,-0.011597,-0.011597,-0.009199,-0.009199,-0.016673,-0.016673,-0.011597,-0.011597,-0.016412,-0.011941,-0.016673,-0.016673,-0.01037,-0.014963,-0.014963,-0.012128,-0.010748
6/10/2018,-0.018503,-0.018503,-0.01304,-0.007892,-0.007892,-0.014714,-0.01304,-0.01304,-0.007961,-0.007961,-0.010286,-0.00874,-0.014714,-0.010792,-0.010792,-0.008584,-0.006287,-0.010286,-0.00874,-0.00874,-0.011636,-0.015977,-0.015977,-0.006287,-0.006287,-0.015768,-0.015768,-0.015977,-0.015977,-0.00836,-0.012329,-0.015768,-0.015768,-0.00981,-0.017173,-0.017173,-0.009802,-0.011195
18/10/2018,-0.001512,-0.001512,-0.014789,0.009339,0.009339,-0.015897,-0.014789,-0.014789,-0.008411,-0.008411,-0.009288,-0.008661,-0.015897,-0.008191,-0.008191,-0.004197,-0.013567,-0.009288,-0.008661,-0.008661,-0.01023,-0.013809,-0.013809,-0.013567,-0.013567,-0.010957,-0.010957,-0.013809,-0.013809,-0.002278,-0.014113,-0.010957,-0.010957,-0.004385,-0.011209,-0.011209,-0.006406,-0.004982
30/10/2018,-0.011868,-0.011868,-0.022258,0.000035,0.000035,-0.008996,-0.022258,-0.022258,-0.01644,-0.01644,-0.009549,-0.010031,-0.008996,-0.019425,-0.019425,-0.011459,-0.009121,-0.009549,-0.010031,-0.010031,-0.013406,-0.013605,-0.013605,-0.009121,-0.009121,-0.013265,-0.013265,-0.013605,-0.013605,-0.01056,-0.011409,-0.013265,-0.013265,-0.006705,-0.013677,-0.013677,-0.005451,-0.008676
11/11/2018,-0.020298,-0.020298,-0.016324,-0.013567,-0.013567,-0.011643,-0.016324,-0.016324,-0.017105,-0.017105,-0.016605,-0.012878,-0.011643,-0.018495,-0.018495,-0.006183,-0.009732,-0.016605,-0.012878,-0.012878,-0.016193,-0.018946,-0.018946,-0.009732,-0.009732,-0.017619,-0.017619,-0.018946,-0.018946,-0.018524,-0.011147,-0.017619,-0.017619,-0.011721,-0.01781,-0.01781,-0.011272,-0.012484
23/11/2018,-0.017543,-0.017543,-0.011448,-0.010486,-0.010486,-0.009638,-0.011448,-0.011448,-0.013598,-0.013598,-0.016532,-0.014736,-0.009638,-0.015747,-0.015747,-0.017195,-0.009554,-0.016532,-0.014736,-0.014736,-0.015154,-0.017575,-0.017575,-0.009554,-0.009554,-0.01371,-0.01371,-0.017575,-0.017575,-0.022013,-0.013855,-0.01371,-0.01371,-0.011736,-0.01935,-0.01935,-0.007464,-0.01216
5/12/2018,-0.016154,-0.016154,-0.010153,-0.014612,-0.014612,-0.010582,-0.010153,-0.010153,-0.020943,-0.020943,-0.017847,-0.014811,-0.010582,-0.019793,-0.019793,-0.013548,-0.012698,-0.017847,-0.014811,-0.014811,-0.013102,-0.019405,-0.019405,-0.012698,-0.012698,-0.01154,-0.01154,-0.019405,-0.019405,-0.016818,-0.003733,-0.01154,-0.01154,-0.010672,-0.024058,-0.024058,-0.010194,-0.013944
17/12/2018,-0.01216,-0.01216,-0.009502,0.001215,0.001215,-0.007848,-0.009502,-0.009502,-0.010365,-0.010365,-0.012979,-0.014777,-0.007848,-0.016951,-0.016951,-0.010415,-0.00652,-0.012979,-0.014777,-0.014777,-0.013645,-0.01421,-0.01421,-0.00652,-0.00652,-0.017726,-0.017726,-0.01421,-0.01421,-0.01495,-0.008889,-0.017726,-0.017726,-0.012659,-0.022648,-0.022648,-0.00618,-0.012683
29/12/2018,-0.015556,-0.015556,-0.022837,-0.001475,-0.001475,-0.01076,-0.022837,-0.022837,-0.02229,-0.02229,-0.018571,-0.007104,-0.01076,-0.014051,-0.014051,-0.014688,-0.00946,-0.018571,-0.007104,-0.007104,-0.009411,-0.014628,-0.014628,-0.00946,-0.00946,-0.010124,-0.010124,-0.014628,-0.014628,-0.017789,-0.010808,-0.010124,-0.010124,-0.009592,-0.014413,-0.014413,-0.013178,-0.010418
10/01/2019,-0.006384,-0.006384,-0.02038,-0.015535,-0.015535,-0.010533,-0.02038,-0.02038,-0.017252,-0.017252,-0.013397,-0.010016,-0.010533,-0.014368,-0.014368,-0.008172,-0.01294,-0.013397,-0.010016,-0.010016,-0.011657,-0.013287,-0.013287,-0.01294,-0.01294,-0.012003,-0.012003,-0.013287,-0.013287,-0.013988,-0.012809,-0.012003,-0.012003,-0.005415,-0.014835,-0.014835,-0.007812,-0.011261
22/01/2019,-0.021288,-0.021288,-0.021534,-0.010755,-0.010755,-0.014898,-0.021534,-0.021534,-0.018364,-0.018364,-0.014078,-0.015391,-0.014898,-0.018112,-0.018112,-0.020904,-0.017272,-0.014078,-0.015391,-0.015391,-0.019897,-0.022293,-0.022293,-0.017272,-0.017272,-0.017186,-0.017186,-0.022293,-0.022293,-0.020561,-0.014153,-0.017186,-0.017186,-0.016807,-0.018746,-0.018746,-0.016328,-0.012539
Easting,592010,592030,592050,592070,592090,592010,592030,592050,592070,592090,592110,591990,592010,592030,592050,592070,592090,592110,591990,592010,592030,592050,592070,592090,592110,592010,592030,592050,592070,592090,592110,592010,592030,592050,592070,592090,592050,592070
Northing,7775130,7775130,7775130,7775130,7775130,7775110,7775110,7775110,7775110,7775110,7775110,7775090,7775090,7775090,7775090,7775090,7775090,7775090,7775070,7775070,7775070,7775070,7775070,7775070,7775070,7775050,7775050,7775050,7775050,7775050,7775050,7775030,7775030,7775030,7775030,7775030,7775010,7775010
