,19/08/2017,31/08/2017,12/09/2017,24/09/2017,6/10/2017,18/10/2017,30/10/2017,11/11/2017,23/11/2017,5/12/2017,17/12/2017,29/12/2017,10/01/2018,22/01/2018,3/02/2018,15/02/2018,27/02/2018,11/03/2018,23/03/2018,4/04/2018,16/04/2018,28/04/2018,10/05/2018,22/05/2018,3/06/2018,15/06/2018,27/06/2018,9/07/2018,21/07/2018,2/08/2018,14/08/2018,26/08/2018,7/09/2018,19/09/2018,1/10/2018,13/10/2018,25/10/2018,6/11/2018,18/11/2018,30/11/2018,12/12/2018,24/12/2018,5/01/2019,17/01/2019,X,Y,Count,Nbhd
Pixel.421,0.002649,-0.000336,0.006905,0.002543,-0.004335,-0.004121,-0.005126,-0.000865,-0.005003,-0.004784,0.001165,-0.005877,-0.001788,-0.0042,-0.003779,-0.005448,-0.002869,-0.004834,0.001366,-0.001982,-0.00546,-0.005368,-0.006181,-0.005266,-0.003699,-0.002739,-0.002246,-0.006925,-0.009737,-0.005418,-0.005593,-0.00853,-0.004488,-0.009904,-0.003476,-0.008852,-0.001709,-0.00445,-0.007879,-0.007723,-0.004317,-0.010658,-0.00673,-0.009866,592278,7775090,2,3
Pixel.44,0.008819,0.002465,-0.004184,0.001219,-0.001677,-0.003536,-0.005245,-0.00183,-9.00E-05,-0.006917,-0.002546,-0.006691,-0.001515,-0.004889,-0.000622,-0.007861,-0.003644,-0.00343,-0.005218,-0.003198,-0.005514,-0.008832,-0.005162,-0.00646,-0.003839,-0.009013,-0.003472,-0.00923,-0.009867,-0.006631,-0.007675,-0.008108,-0.007841,-0.006727,-0.00751,-0.006038,-0.006132,-0.011123,-0.006258,-0.011321,-0.01504,-0.010223,-0.009545,-0.01198,592317,7775080,1,3
Pixel.46,0.000878,-0.004366,0.000612,-0.00417,0.001683,-0.000849,0.000844,0.0012,0.002858,0.001666,0.004447,-0.001227,0.001025,-0.001305,0.002548,-0.005864,0.000857,-0.001229,-0.002364,-0.005095,-0.002813,-0.002761,-0.000977,0.001137,0.003881,-0.003465,-0.000409,0.002481,-0.002656,-0.000857,-0.003173,-0.001917,-0.001879,-0.000585,-0.000104,-0.002069,0.001115,-0.002817,7.90E-05,-0.003386,-0.000569,-0.000246,-0.005077,-0.00566,592357,7775080,10,3
Pixel.112,-0.003981,0.000923,-0.002598,0.009083,0.000938,0.002948,0.004871,0.001729,-0.018142,0.002582,-0.001315,-0.004966,-0.005172,0.001704,-0.003201,-0.001336,-0.009852,-0.004395,-0.004179,0.004648,-0.002693,-0.003204,-0.004021,-0.001143,-0.002988,-0.001986,-0.001984,-0.002489,-0.004792,-0.002797,-0.004108,-0.007284,-0.007159,-0.004,-0.013889,-0.006495,-0.006601,-0.004822,-0.003717,-0.008587,-0.011763,0.00306,-0.006623,-0.005272,592350,7775210,2,4
Pixel.27,-0.013716,0.008123,-0.003692,0.011605,0.007774,-0.006123,0.010176,-0.006358,-0.008646,0.00034,0.00067,-0.006925,-0.001862,-0.008325,-0.005126,-0.010205,-0.004154,-0.008066,-0.00936,-0.004459,-0.004886,-0.003045,-0.005316,-0.007819,-0.002461,-0.00403,-0.00785,-0.006042,-0.002479,-0.005573,-0.000989,-0.00233,-0.008399,-0.00681,-0.011448,-0.007877,-0.013339,-0.005551,-0.006411,-0.00758,-0.00362,-0.007618,-0.003818,-0.013365,592370,7775210,1,4
Pixel.36,-0.003,0.008063,-0.003535,-0.001747,0.010177,0.000245,0.002232,0.001049,0.000855,-0.003027,0.006154,-0.006975,-0.002468,-0.003751,0.001557,-0.007478,-0.006211,-0.004921,-0.001653,-0.001177,-0.006183,-0.007266,-0.002332,0.002388,0.000167,7.70E-05,-0.006509,-0.004627,-0.002925,-0.006032,-0.004705,-0.006004,-0.002666,-0.003389,-0.008016,-0.010645,-0.003576,-0.000163,-0.001872,-0.0015,-0.008163,0.003549,-0.011437,-0.015458,592390,7775210,5,4
Pixel.6,0.005609,0.01283,0.003922,0.002059,0.001757,-0.004168,0.000754,-0.001386,-0.023811,0.002999,-0.002913,0.000752,-0.001812,0.003761,-0.003281,-0.004431,-0.016454,-0.008473,0.001718,-0.004709,-0.007117,-0.004787,-0.006088,0.000754,-0.00532,-0.003349,0.000194,-0.004926,-0.004925,-0.010799,-0.010027,-0.006984,-0.005305,-0.008114,-0.006083,-0.005209,-0.006425,-0.002358,-0.009053,-0.00107,-0.010565,-0.001205,-0.008755,-0.009804,592370,7775190,1,4
Pixel.71,-0.001167,0.005323,-0.01134,0.004323,0.002536,-0.006009,-0.002639,-0.005431,0.010872,0.000342,-0.005651,-0.005626,0.00552,-0.004844,-0.004756,-0.006366,-0.005752,-0.005036,-0.011658,0.004255,-0.004436,-0.002575,-0.001637,-0.001815,-0.010175,-0.000162,-0.008092,-0.004281,-0.002769,-0.005958,-0.001413,-0.006582,-0.007347,-0.005054,-0.007674,-0.004234,-0.000121,-0.005577,-0.005803,0.000636,-0.010686,-0.004375,-0.010546,-0.011087,592390,7775190,3,4
Pixel.82,-0.003345,0.009549,0.008906,0.001472,0.006613,-0.003236,-0.007526,-0.004499,0.003882,-0.00336,-0.001615,-0.014704,0.000177,-0.00959,-0.011912,-0.017099,-0.005803,-0.011826,-0.010454,-0.010293,-0.009564,-0.006644,-0.008442,-0.001288,-0.008085,-0.007893,-0.014053,-0.007601,-0.011298,-0.014236,-0.004499,-0.011815,-0.011121,-0.010284,-0.009179,-0.011877,-0.009994,-0.015578,-0.017924,-0.0206,-0.015122,-0.013104,-0.012744,-0.01639,592410,7775190,1,4
Pixel.91,-0.000109,0.013646,-0.008348,0.01258,-0.000381,-0.007842,-0.007595,0.005863,-0.002369,-0.000569,-0.011215,-0.013183,-0.002395,-0.008686,-0.003203,-0.008595,-0.001468,-0.004627,-0.011949,-0.006482,-0.007238,-0.016188,-0.007297,-0.006744,-0.002219,-0.008487,-0.010715,0.001768,-0.002964,-0.002432,-0.002662,-0.00623,-0.00379,-0.008217,-0.006551,-0.017274,-0.009319,-0.007336,-0.015244,-0.010956,-0.009929,-0.00918,-0.002879,-0.020122,592310,7775170,1,4
Pixel.12,0.000561,0.003257,0.00154,0.008121,0.000826,-0.0051,-0.001485,-0.003605,0.002005,0.006493,-0.002465,-0.009895,-0.001507,-0.003803,-0.008188,-0.008318,-0.010041,-0.006372,-0.00107,-0.005905,-0.00241,0.006463,0.001531,-0.009144,-0.001714,0.000153,-0.00087,0.002598,-0.001889,0.001965,0.000368,-0.003176,-0.010963,-0.001592,-0.006584,-0.006347,-0.002361,-0.008787,-0.004012,-0.005307,-0.004248,-0.00556,-0.006805,-0.006421,592370,7775170,2,4
Pixel.132,0.000295,0.015924,0.005584,0.003365,-0.002087,-0.005323,-0.007352,-0.008362,-0.015915,-0.002672,-0.006632,-0.007595,-0.006204,-0.010546,-0.00757,-0.008133,-0.004056,-0.013596,-0.009179,-0.007385,-0.017781,-0.004172,-0.004829,-0.005363,-0.008261,-0.006918,-0.014494,-0.00677,-0.009977,-0.024416,0.000336,-0.010098,-0.007649,-0.003435,-0.01442,-0.019011,-0.007813,-0.007761,-0.000538,-0.005279,-0.017413,-0.015757,-0.037164,-0.018932,592390,7775170,1,4
Pixel.17,0.001429,-0.001785,-0.001747,-0.004429,-0.005174,0.002252,0.00128,-0.001615,-0.005969,-0.005096,0.000772,0.003569,0.006182,0.001588,0.001198,-0.002736,-0.000793,-0.001984,-0.004872,-0.003463,-0.001777,0.000755,-0.002436,-0.001814,-0.001368,0.001381,-0.001255,0.001685,-0.003584,-0.00366,0.000521,-0.001017,-0.008882,-0.001379,-0.000242,-0.001552,-0.001935,-0.002035,-0.00493,-0.003535,-0.003257,-0.004858,0.003047,-0.007346,592330,7775150,4,4
Pixel.181,-0.008868,-0.008203,-0.004524,0.000907,0.009941,0.007156,0.008577,-0.004385,-3.00E-06,0.003595,4.40E-05,0.002572,0.006071,-0.00584,-0.004247,-0.004887,-0.010821,-0.00198,-0.014235,-0.003593,0.003135,-0.005785,-0.000961,-0.002932,-0.002169,-0.003601,-0.005183,-0.003006,-0.001569,-0.008013,-0.004774,-0.010541,-0.012572,0.01179,-0.003105,-0.003252,-0.001899,-0.003868,-0.003061,9.00E-05,-0.003214,-0.013854,-0.004753,-0.011614,592350,7775150,2,4
Pixel.203,-0.003969,0.016056,-0.00645,0.009244,-0.012145,-0.011112,-0.004052,-0.008478,-0.00584,0.002648,-0.004557,-0.008532,0.002472,-0.006835,0.000437,-0.00417,-0.005585,-0.001563,-0.011673,-0.002979,-0.003483,-0.006571,-0.005621,-0.002548,-0.008714,-0.000699,-0.006375,-0.002757,-0.008704,-0.006753,0.000434,-0.013236,-0.005215,-6.00E-06,-0.012334,-0.00678,-0.015673,-0.007949,-0.011002,-0.010045,-0.00736,-0.010397,-0.008419,-0.028853,592390,7775150,2,4
Pixel.212,-0.005828,0.002452,0.001486,0.006705,9.50E-05,0.001076,-0.003914,0.000768,-0.004189,0.002401,-0.002848,-0.001923,0.001143,-0.00255,0.000371,-0.006077,-0.003657,-0.00906,-0.005644,-0.004916,-0.008043,-0.005238,-0.009682,-0.004316,-0.004645,-0.005843,-0.001682,-0.006487,-0.001459,-0.01036,0.005996,-0.009011,-0.00412,-0.001165,-0.00679,-6.70E-05,-0.005622,-0.005775,-0.012341,-0.007444,-0.007247,-0.001993,-0.007954,-0.012974,592410,7775150,1,4
Pixel.232,0.002821,0.006346,0.007737,0.003494,-0.001978,-0.008838,-0.014301,-0.000959,-0.001562,0.007158,-0.005562,-0.005038,-0.001575,-0.005364,-0.003247,-0.004253,0.003299,-0.004958,-0.003981,-0.001446,-0.008227,-0.011146,-0.000721,-0.003666,-0.00489,-0.005127,-0.005387,-0.004276,-0.009188,-0.001154,0.001725,-0.007763,-0.004713,-0.003729,-0.007569,-0.015772,-0.014261,-0.006514,-0.005709,-0.005895,-0.009263,-0.006518,-0.001985,-0.018237,592310,7775130,1,4
Pixel.252,-0.007112,0.001429,-0.003637,0.003864,-0.004791,-0.006528,-0.00351,-0.003172,0.003399,0.000507,-0.001991,-0.01341,-0.00084,-0.004966,0.001561,0.001756,-0.00171,-0.007386,0.008109,-0.007656,-0.00411,0.003264,0.004027,-0.007203,-0.003809,-0.006505,-0.009078,-0.008663,-0.009841,-0.014304,-0.006271,-0.012548,-0.00727,-0.015898,-0.011735,-0.011105,-0.011449,-0.006775,-0.00991,-0.012932,-0.0091,-0.019857,-0.001632,-0.022973,592350,7775130,4,4
Pixel.261,-0.000204,0.003854,0.000115,0.013333,-0.001311,0.008352,0.001583,-0.002281,-0.00831,-0.000991,0.000263,-0.00133,-0.001539,-0.005537,-0.006786,-0.002512,-0.017392,-0.006404,-0.00748,-0.007332,-0.013376,-0.008222,-0.005082,-0.01343,-0.004543,-0.008226,-0.009682,-0.019013,-0.00815,0.00084,-0.007176,-0.00878,-0.012754,-0.008835,-0.007723,-0.00694,-0.009099,-0.005299,-0.009239,-0.014419,-0.012679,-0.023066,-0.004497,-0.018814,592370,7775130,1,4
Pixel.28,0.007881,0.002739,-0.007822,-0.00537,0.001365,0.001105,-0.006258,-0.001035,0.007742,-0.005404,0.0017,-0.007374,-0.005589,0.002282,-0.008006,-0.0019,-0.005054,-0.004232,-0.017099,-0.005986,-0.007613,0.002534,-0.005315,-0.008243,-0.000794,-0.001294,0.000977,-0.021568,-0.005264,-0.00476,-0.002855,-0.010141,-0.008368,-0.003783,-0.00463,0.001555,-0.010822,-0.007666,-0.019389,-0.013201,-0.022188,-0.009304,-0.012322,-0.010845,592410,7775130,1,4
Pixel.291,-0.002399,0.005699,-0.010046,0.000169,0.003006,0.000591,-0.006626,-0.005035,-0.003522,-0.005181,0.006454,0.002513,0.003563,-0.002939,-0.002584,0.000514,0.007601,-0.010745,-0.002673,0.000278,-0.00117,-0.003425,-0.00671,-0.003023,-0.003546,-0.001528,0.002933,2.00E-06,0.001242,0.003645,-0.003356,-0.009453,-0.008815,-0.001089,0.006158,0.002867,-0.008688,0.000426,-0.004126,-0.003122,-0.001291,-0.00391,0.00361,-0.005556,592430,7775130,9,4
Pixel.321,0.002476,0.000972,-0.003505,0.002821,0.004282,0.009152,-0.00074,-0.00275,-0.000933,-0.005547,-0.002446,-0.004084,-0.006303,0.001252,-0.003968,-0.002831,-0.005612,-0.004779,-0.00298,-0.004294,-0.007373,-0.008282,-0.004455,-0.006976,-0.001859,-0.002549,-0.002799,-0.006091,-0.009601,-0.005369,-0.005599,-0.007061,-0.011387,-0.009719,-0.006098,-0.003203,-0.010555,-0.010907,-0.008154,-0.009956,-0.012321,-0.006904,-0.004738,-0.00739,592370,7775110,1,4
Pixel.371,0.00471,0.002823,0.002274,-0.001708,-0.003427,-0.004713,0.001205,-0.005755,-0.005644,-0.009779,-0.001307,-0.007329,-0.002377,-0.00316,-0.007535,-0.007538,-0.004709,-0.006913,-0.008319,-0.001835,-0.004381,-0.007361,-0.000224,-0.008273,-0.004891,-0.003983,-0.009035,-0.020452,-0.012834,-0.00281,-0.008325,-0.009044,-0.011091,-0.005413,-0.013511,0.004683,-0.014436,-0.010251,-0.009964,-0.021939,-0.019245,-0.006818,-0.010645,-0.011546,592390,7775090,1,4
Pixel.113,-0.008608,-0.002762,0.002638,0.004979,-0.003387,-0.000493,-0.004126,0.000613,-0.004689,-0.004391,-0.004296,-0.003208,-0.004728,-0.007288,-0.008493,-0.008331,-0.006541,-0.009505,-0.004855,-0.006952,-0.010864,-0.001404,-0.010482,-0.00847,-0.00687,-0.010003,-0.012006,-0.011281,-0.012923,-0.009291,-0.012285,-0.010884,-0.018143,-0.013143,-0.018503,-0.001512,-0.011868,-0.020298,-0.017543,-0.016154,-0.01216,-0.015556,-0.006384,-0.021288,592010,7775130,1,5
Pixel.310,-0.005966,0.000608,-0.013514,0.006115,0.002417,0.004195,-0.003341,-0.007819,-0.014149,-0.003884,-0.001189,-0.00493,-0.009601,-0.00528,-0.009936,-0.002047,-0.011608,-0.006109,-0.00986,-0.01212,-0.005215,-0.007397,-0.011835,-0.011883,-0.00927,-0.014036,-0.010788,-0.015803,-0.014234,-0.016785,-0.015528,-0.014105,-0.014095,-0.014223,-0.01304,-0.014789,-0.022258,-0.016324,-0.011448,-0.010153,-0.009502,-0.022837,-0.02038,-0.021534,592050,7775130,1,5
