"","35","53","55","57","58","60","63","65","67","68","72","73","75","76","79","81","84","88","89","90","93"
"35",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
"53",1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"55",0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0
"57",1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"58",0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"60",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
"63",0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0
"65",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
"67",0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"68",1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
"72",0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0
"73",0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1
"75",0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
"76",0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"79",0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"81",1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1
"84",0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1
"88",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"89",1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"90",0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1
"93",1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1
